date,location,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,total_deaths_per_million,people_vaccinated,people_fully_vaccinated,population
2020-02-24,Afghanistan,5.0,5.0,0.0,0.0,0.126,0.0,0.0,0.0,39835428.0
2020-02-25,Afghanistan,5.0,0.0,0.0,0.0,0.126,0.0,0.0,0.0,39835428.0
2020-02-26,Afghanistan,5.0,0.0,0.0,0.0,0.126,0.0,0.0,0.0,39835428.0
2020-02-27,Afghanistan,5.0,0.0,0.0,0.0,0.126,0.0,0.0,0.0,39835428.0
2020-02-28,Afghanistan,5.0,0.0,0.0,0.0,0.126,0.0,0.0,0.0,39835428.0
2020-02-29,Afghanistan,5.0,0.0,0.0,0.0,0.126,0.0,0.0,0.0,39835428.0
2020-03-01,Afghanistan,5.0,0.0,0.0,0.0,0.126,0.0,0.0,0.0,39835428.0
2020-03-02,Afghanistan,5.0,0.0,0.0,0.0,0.126,0.0,0.0,0.0,39835428.0
2020-03-03,Afghanistan,5.0,0.0,0.0,0.0,0.126,0.0,0.0,0.0,39835428.0
2020-03-04,Afghanistan,5.0,0.0,0.0,0.0,0.126,0.0,0.0,0.0,39835428.0
2020-03-05,Afghanistan,5.0,0.0,0.0,0.0,0.126,0.0,0.0,0.0,39835428.0
2020-03-06,Afghanistan,5.0,0.0,0.0,0.0,0.126,0.0,0.0,0.0,39835428.0
2020-03-07,Afghanistan,8.0,3.0,0.0,0.0,0.201,0.0,0.0,0.0,39835428.0
2020-03-08,Afghanistan,8.0,0.0,0.0,0.0,0.201,0.0,0.0,0.0,39835428.0
2020-03-09,Afghanistan,8.0,0.0,0.0,0.0,0.201,0.0,0.0,0.0,39835428.0
2020-03-10,Afghanistan,8.0,0.0,0.0,0.0,0.201,0.0,0.0,0.0,39835428.0
2020-03-11,Afghanistan,11.0,3.0,0.0,0.0,0.276,0.0,0.0,0.0,39835428.0
2020-03-12,Afghanistan,11.0,0.0,0.0,0.0,0.276,0.0,0.0,0.0,39835428.0
2020-03-13,Afghanistan,11.0,0.0,0.0,0.0,0.276,0.0,0.0,0.0,39835428.0
2020-03-14,Afghanistan,14.0,3.0,0.0,0.0,0.351,0.0,0.0,0.0,39835428.0
